施行日期,98無鉛汽油,95無鉛汽油,92無鉛汽油,超(高)級柴油
2015/5/25,29.4 元,27.4 元,25.9 元,24.0 元
2015/5/18,29.6 元,27.6 元,26.1 元,24.2 元
2015/5/11,29.8 元,27.8 元,26.3 元,24.4 元
2015/5/4,29.2 元,27.2 元,25.7 元,23.8 元
2015/4/27,29.0 元,27.0 元,25.5 元,23.6 元
2015/4/20,28.7 元,26.7 元,25.2 元,23.2 元
2015/4/13,27.9 元,25.9 元,24.4 元,22.4 元
2015/4/6,27.6 元,25.6 元,24.1 元,22.1 元
2015/3/30,27.7 元,25.7 元,24.2 元,22.2 元
2015/3/23,27.2 元,25.2 元,23.7 元,21.7 元
2015/3/16,28.0 元,26.0 元,24.5 元,22.6 元
2015/3/9,28.7 元,26.7 元,25.2 元,23.3 元
2015/3/2,28.5 元,26.5 元,25 元,23.1 元
2015/2/23,28.8 元,26.8 元,25.3 元,23.4 元
2015/2/16,28 元,26 元,24.5 元,22.5 元
2015/2/9,27.5 元,25.5 元,24 元,21.9 元
2015/2/2,25.6 元,23.6 元,22.1 元,19.9 元
2015/1/26,25.7 元,23.7 元,22.2 元,19.9 元
2015/1/19,25.6 元,23.6 元,22.1 元,19.8 元
2015/1/12,26.6 元,24.6 元,23.1 元,20.9 元
2015/1/5,27.8 元,25.8 元,24.3 元,22.3 元
2014/12/29,28.5 元,26.5 元,25 元,23 元
2014/12/22,28.4 元,26.4 元,24.9 元,22.9 元
2014/12/15,29.4 元,27.4 元,25.9 元,24 元
2014/12/8,30.4 元,28.4 元,26.9 元,25.1 元
2014/12/1,31.6 元,29.6 元,28.1 元,26.4 元
2014/11/24,31.8 元,29.8 元,28.3 元,26.7 元
2014/11/17,32.2 元,30.2 元,28.7 元,27.1 元
2014/11/10,32.7 元,30.7 元,29.2 元,27.7 元
2014/11/3,33.3 元,31.3 元,29.8 元,28.4 元
2014/10/27,33.3 元,31.3 元,29.8 元,28.3 元
2014/10/20,33.5 元,31.5 元,30 元,28.5 元
2014/10/13,34.4 元,32.4 元,30.9 元,29.5 元
2014/10/6,35 元,33 元,31.5 元,30.2 元
2014/9/29,35.2 元,33.2 元,31.7 元,30.4 元
2014/9/22,35.4 元,33.4 元,31.9 元,30.6 元
2014/9/15,35.5 元,33.5 元,32 元,30.7 元
2014/9/8,36 元,34 元,32.5 元,31.3 元
2014/9/1,36.2 元,34.2 元,32.7 元,31.4 元
2014/8/25,36 元,34 元,32.5 元,31.3 元
2014/8/18,36.3 元,34.3 元,32.8 元,31.6 元
2014/8/11,36.6 元,34.6 元,33.1 元,32 元
2014/8/4,36.9 元,34.9 元,33.4 元,32.3 元
2014/7/28,37 元,35 元,33.5 元,32.4 元
2014/7/21,36.9 元,34.9 元,33.4 元,32.2 元
2014/7/14,37.1 元,35.1 元,33.6 元,32.5 元
2014/7/7,37.5 元,35.5 元,34 元,33 元
2014/6/30,37.9 元,35.9 元,34.4 元,33.4 元
2014/6/23,38 元,36 元,34.5 元,33.5 元
2014/6/16,37.4 元,35.4 元,33.9 元,32.8 元
2014/6/9,37.2 元,35.2 元,33.7 元,32.5 元
2014/6/2,37.4 元,35.4 元,33.9 元,32.8 元
2014/5/26,37.5 元,35.5 元,34 元,32.9 元
2014/5/19,37.3 元,35.3 元,33.8 元,32.7 元
2014/5/12,37 元,35 元,33.5 元,32.4 元
2014/5/5,37.2 元,35.2 元,33.7 元,32.6 元
2014/4/28,37.4 元,35.4 元,33.9 元,32.8 元
2014/4/21,37.3 元,35.3 元,33.8 元,32.7 元
2014/4/14,36.9 元,34.9 元,33.4 元,32.2 元
2014/4/7,36.9 元,34.9 元,33.4 元,32.2 元
2014/3/31,37.2 元,35.2 元,33.7 元,32.6 元
2014/3/24,37.1 元,35.1 元,33.6 元,32.4 元
2014/3/17,37.1 元,35.1 元,33.6 元,32.5 元
2014/3/10,37.4 元,35.4 元,33.9 元,32.7 元
2014/3/3,37.4 元,35.4 元,33.9 元,32.9 元
2014/2/24,37.5 元,35.5 元,34 元,32.9 元
2014/2/17,37.3 元,35.3 元,33.8 元,32.7 元
2014/2/10,36.9 元,34.9 元,33.4 元,32.3 元
2014/2/3,37.2 元,35.2 元,33.7 元,32.6 元
2014/1/27,37.2 元,35.2 元,33.7 元,32.6 元
2014/1/20,36.9 元,34.9 元,33.4 元,32.2 元
2014/1/13,37 元,35 元,33.5 元,32.4 元
2014/1/6,37.4 元,35.4 元,33.9 元,32.8 元
